student_id,year_level,semester,course_code,course_name,category,grade
S0001,Senior,Fall_2022,ART040,Music Theory,Arts,4.0
S0001,Senior,Fall_2022,CS040,Computer Systems,CS,3.3
S0001,Senior,Fall_2022,MATH010,Calculus I,Math,3.7
S0001,Senior,Fall_2022,SCI060,Biochemistry,Sciences,4.0
S0001,Senior,Spring_2023,MATH080,Differential Equations,Math,3.3
S0001,Senior,Spring_2023,MATH030,Linear Algebra,Math,2.7
S0001,Senior,Spring_2023,MATH090,Number Theory,Math,3.3
S0001,Senior,Spring_2023,SOC080,International Relations,SocialSciences,3.3
S0001,Senior,Fall_2023,HUM030,World History,Humanities,3.7
S0001,Senior,Fall_2023,MATH010,Calculus I,Math,3.0
S0001,Senior,Fall_2023,CS100,Theory of Computation,CS,3.0
S0001,Senior,Fall_2023,ART010,Drawing Fundamentals,Arts,3.3
S0001,Senior,Spring_2024,MATH050,Probability,Math,3.7
S0001,Senior,Spring_2024,ART060,Photography,Arts,3.7
S0001,Senior,Spring_2024,SOC040,Social Psychology,SocialSciences,4.0
S0001,Senior,Spring_2024,SOC090,Public Policy,SocialSciences,4.0
S0001,Senior,Fall_2024,MATH050,Probability,Math,3.7
S0001,Senior,Fall_2024,SOC090,Public Policy,SocialSciences,4.0
S0001,Senior,Fall_2024,MATH020,Calculus II,Math,3.0
S0001,Senior,Fall_2024,MATH100,Abstract Algebra,Math,3.3
S0001,Senior,Spring_2025,MATH090,Number Theory,Math,4.0
S0001,Senior,Spring_2025,HUM090,Modern Poetry,Humanities,4.0
S0001,Senior,Spring_2025,MATH010,Calculus I,Math,3.0
S0001,Senior,Spring_2025,MATH060,Statistics,Math,3.3
S0001,Senior,Fall_2025,CS060,Databases,CS,3.7
S0001,Senior,Fall_2025,MATH080,Differential Equations,Math,3.7
S0001,Senior,Fall_2025,SOC090,Public Policy,SocialSciences,4.0
S0001,Senior,Fall_2025,CS090,Software Engineering,CS,3.3
S0002,Graduated,Fall_2022,ART100,Graphic Design,Arts,2.7
S0002,Graduated,Fall_2022,SOC070,Anthropology,SocialSciences,3.0
S0002,Graduated,Fall_2022,SOC060,Political Science,SocialSciences,3.3
S0002,Graduated,Fall_2022,HUM060,Religious Studies,Humanities,3.3
S0002,Graduated,Spring_2023,HUM100,Linguistics,Humanities,3.3
S0002,Graduated,Spring_2023,HUM080,American Literature,Humanities,4.0
S0002,Graduated,Spring_2023,HUM020,Creative Writing,Humanities,3.3
S0002,Graduated,Spring_2023,CS040,Computer Systems,CS,2.7
S0002,Graduated,Fall_2023,HUM080,American Literature,Humanities,3.3
S0002,Graduated,Fall_2023,HUM030,World History,Humanities,3.7
S0002,Graduated,Fall_2023,ART070,Film Studies,Arts,3.0
S0002,Graduated,Fall_2023,HUM010,English Literature,Humanities,3.3
S0002,Graduated,Spring_2024,SCI030,Electromagnetism,Sciences,3.3
S0002,Graduated,Spring_2024,HUM080,American Literature,Humanities,3.3
S0002,Graduated,Spring_2024,CS040,Computer Systems,CS,2.7
S0002,Graduated,Spring_2024,SOC020,Macroeconomics,SocialSciences,3.7
S0002,Graduated,Fall_2024,HUM040,Philosophy,Humanities,2.7
S0002,Graduated,Fall_2024,CS090,Software Engineering,CS,3.3
S0002,Graduated,Fall_2024,HUM050,Ethics,Humanities,3.0
S0002,Graduated,Fall_2024,HUM020,Creative Writing,Humanities,3.3
S0002,Graduated,Spring_2025,ART040,Music Theory,Arts,3.3
S0002,Graduated,Spring_2025,HUM020,Creative Writing,Humanities,3.3
S0002,Graduated,Spring_2025,ART050,History of Art,Arts,3.3
S0002,Graduated,Spring_2025,HUM070,Classical Mythology,Humanities,3.3
S0002,Graduated,Fall_2025,HUM070,Classical Mythology,Humanities,3.3
S0002,Graduated,Fall_2025,HUM080,American Literature,Humanities,3.3
S0002,Graduated,Fall_2025,HUM090,Modern Poetry,Humanities,3.7
S0002,Graduated,Fall_2025,HUM020,Creative Writing,Humanities,3.3
S0002,Graduated,Spring_2026,SOC080,International Relations,SocialSciences,3.7
S0002,Graduated,Spring_2026,HUM010,English Literature,Humanities,4.0
S0002,Graduated,Spring_2026,HUM030,World History,Humanities,3.3
S0002,Graduated,Spring_2026,HUM040,Philosophy,Humanities,3.3
S0003,Junior,Fall_2022,HUM100,Linguistics,Humanities,2.7
S0003,Junior,Fall_2022,HUM020,Creative Writing,Humanities,2.7
S0003,Junior,Fall_2022,SCI010,General Physics,Sciences,2.7
S0003,Junior,Fall_2022,MATH040,Discrete Math,Math,2.3
S0003,Junior,Spring_2023,SCI100,Astronomy,Sciences,3.0
S0003,Junior,Spring_2023,HUM020,Creative Writing,Humanities,3.3
S0003,Junior,Spring_2023,HUM100,Linguistics,Humanities,3.0
S0003,Junior,Spring_2023,CS070,Machine Learning,CS,2.7
S0003,Junior,Fall_2023,ART070,Film Studies,Arts,3.7
S0003,Junior,Fall_2023,HUM050,Ethics,Humanities,3.3
S0003,Junior,Fall_2023,HUM090,Modern Poetry,Humanities,3.0
S0003,Junior,Fall_2023,HUM100,Linguistics,Humanities,2.3
S0003,Junior,Spring_2024,ART100,Graphic Design,Arts,2.7
S0003,Junior,Spring_2024,ART070,Film Studies,Arts,2.7
S0003,Junior,Spring_2024,HUM020,Creative Writing,Humanities,3.0
S0003,Junior,Spring_2024,SOC080,International Relations,SocialSciences,2.3
S0003,Junior,Fall_2024,HUM050,Ethics,Humanities,2.3
S0003,Junior,Fall_2024,MATH070,Real Analysis,Math,2.7
S0003,Junior,Fall_2024,ART050,History of Art,Arts,3.0
S0003,Junior,Fall_2024,HUM070,Classical Mythology,Humanities,3.0
S0004,Junior,Fall_2022,HUM060,Religious Studies,Humanities,3.7
S0004,Junior,Fall_2022,MATH020,Calculus II,Math,3.3
S0004,Junior,Fall_2022,SOC050,Sociology,SocialSciences,2.7
S0004,Junior,Fall_2022,HUM050,Ethics,Humanities,3.3
S0004,Junior,Spring_2023,MATH060,Statistics,Math,3.0
S0004,Junior,Spring_2023,ART010,Drawing Fundamentals,Arts,3.0
S0004,Junior,Spring_2023,CS030,Algorithms,CS,3.0
S0004,Junior,Spring_2023,MATH040,Discrete Math,Math,3.3
S0004,Junior,Fall_2023,HUM100,Linguistics,Humanities,3.3
S0004,Junior,Fall_2023,ART100,Graphic Design,Arts,3.3
S0004,Junior,Fall_2023,ART060,Photography,Arts,3.3
S0004,Junior,Fall_2023,MATH030,Linear Algebra,Math,2.7
S0004,Junior,Spring_2024,ART020,Painting,Arts,3.3
S0004,Junior,Spring_2024,SOC080,International Relations,SocialSciences,3.3
S0004,Junior,Spring_2024,MATH080,Differential Equations,Math,3.0
S0004,Junior,Spring_2024,MATH020,Calculus II,Math,3.3
S0004,Junior,Fall_2024,SCI030,Electromagnetism,Sciences,3.0
S0004,Junior,Fall_2024,MATH040,Discrete Math,Math,3.7
S0004,Junior,Fall_2024,MATH050,Probability,Math,2.3
S0004,Junior,Fall_2024,SOC100,Behavioral Economics,SocialSciences,4.0
S0005,Sophomore,Fall_2022,SCI050,Organic Chemistry,Sciences,2.3
S0005,Sophomore,Fall_2022,SCI100,Astronomy,Sciences,3.0
S0005,Sophomore,Fall_2022,SCI060,Biochemistry,Sciences,2.7
S0005,Sophomore,Fall_2022,SCI090,Ecology,Sciences,2.7
S0005,Sophomore,Spring_2023,SCI090,Ecology,Sciences,2.7
S0005,Sophomore,Spring_2023,HUM050,Ethics,Humanities,2.3
S0005,Sophomore,Spring_2023,SOC080,International Relations,SocialSciences,2.7
S0005,Sophomore,Spring_2023,MATH030,Linear Algebra,Math,2.0
S0005,Sophomore,Fall_2023,SCI020,Mechanics,Sciences,2.3
S0005,Sophomore,Fall_2023,MATH100,Abstract Algebra,Math,2.0
S0005,Sophomore,Fall_2023,SOC030,Intro Psychology,SocialSciences,2.0
S0005,Sophomore,Fall_2023,SCI070,Cell Biology,Sciences,2.3
S0006,Junior,Fall_2022,MATH020,Calculus II,Math,3.0
S0006,Junior,Fall_2022,MATH100,Abstract Algebra,Math,3.3
S0006,Junior,Fall_2022,ART010,Drawing Fundamentals,Arts,3.3
S0006,Junior,Fall_2022,ART040,Music Theory,Arts,3.7
S0006,Junior,Spring_2023,ART040,Music Theory,Arts,3.7
S0006,Junior,Spring_2023,ART010,Drawing Fundamentals,Arts,3.3
S0006,Junior,Spring_2023,SOC030,Intro Psychology,SocialSciences,4.0
S0006,Junior,Spring_2023,ART090,Modern Dance,Arts,4.0
S0006,Junior,Fall_2023,ART050,History of Art,Arts,3.3
S0006,Junior,Fall_2023,ART040,Music Theory,Arts,3.7
S0006,Junior,Fall_2023,ART010,Drawing Fundamentals,Arts,3.0
S0006,Junior,Fall_2023,ART080,Theater Performance,Arts,4.0
S0006,Junior,Spring_2024,SOC060,Political Science,SocialSciences,4.0
S0006,Junior,Spring_2024,HUM020,Creative Writing,Humanities,3.3
S0006,Junior,Spring_2024,ART030,Sculpture,Arts,4.0
S0006,Junior,Spring_2024,CS010,Intro to Programming,CS,3.3
S0006,Junior,Fall_2024,ART090,Modern Dance,Arts,3.0
S0006,Junior,Fall_2024,ART020,Painting,Arts,3.0
S0006,Junior,Fall_2024,ART080,Theater Performance,Arts,4.0
S0006,Junior,Fall_2024,HUM060,Religious Studies,Humanities,3.3
S0006,Junior,Spring_2025,HUM030,World History,Humanities,3.0
S0006,Junior,Spring_2025,ART090,Modern Dance,Arts,3.7
S0006,Junior,Spring_2025,ART030,Sculpture,Arts,3.7
S0006,Junior,Spring_2025,HUM010,English Literature,Humanities,3.7
S0007,Junior,Fall_2022,SCI050,Organic Chemistry,Sciences,3.0
S0007,Junior,Fall_2022,SCI060,Biochemistry,Sciences,3.0
S0007,Junior,Fall_2022,SCI090,Ecology,Sciences,3.7
S0007,Junior,Fall_2022,SCI030,Electromagnetism,Sciences,3.0
S0007,Junior,Spring_2023,SCI090,Ecology,Sciences,3.0
S0007,Junior,Spring_2023,SCI010,General Physics,Sciences,3.3
S0007,Junior,Spring_2023,SCI070,Cell Biology,Sciences,3.0
S0007,Junior,Spring_2023,SCI100,Astronomy,Sciences,3.3
S0007,Junior,Fall_2023,SCI060,Biochemistry,Sciences,2.7
S0007,Junior,Fall_2023,SCI070,Cell Biology,Sciences,3.3
S0007,Junior,Fall_2023,ART040,Music Theory,Arts,2.7
S0007,Junior,Fall_2023,SCI090,Ecology,Sciences,3.0
S0007,Junior,Spring_2024,SCI070,Cell Biology,Sciences,3.0
S0007,Junior,Spring_2024,ART040,Music Theory,Arts,4.0
S0007,Junior,Spring_2024,SCI030,Electromagnetism,Sciences,3.0
S0007,Junior,Spring_2024,HUM050,Ethics,Humanities,3.3
S0007,Junior,Fall_2024,CS090,Software Engineering,CS,3.0
S0007,Junior,Fall_2024,MATH020,Calculus II,Math,2.7
S0007,Junior,Fall_2024,SCI070,Cell Biology,Sciences,3.3
S0007,Junior,Fall_2024,SCI080,Genetics,Sciences,2.7
S0008,Junior,Fall_2022,HUM010,English Literature,Humanities,3.7
S0008,Junior,Fall_2022,SCI090,Ecology,Sciences,3.0
S0008,Junior,Fall_2022,SCI060,Biochemistry,Sciences,3.3
S0008,Junior,Fall_2022,SCI020,Mechanics,Sciences,2.7
S0008,Junior,Spring_2023,SCI010,General Physics,Sciences,3.3
S0008,Junior,Spring_2023,MATH060,Statistics,Math,3.3
S0008,Junior,Spring_2023,SCI020,Mechanics,Sciences,3.0
S0008,Junior,Spring_2023,MATH040,Discrete Math,Math,3.7
S0008,Junior,Fall_2023,SOC060,Political Science,SocialSciences,3.3
S0008,Junior,Fall_2023,SCI030,Electromagnetism,Sciences,3.7
S0008,Junior,Fall_2023,CS070,Machine Learning,CS,4.0
S0008,Junior,Fall_2023,ART100,Graphic Design,Arts,3.7
S0008,Junior,Spring_2024,CS050,Operating Systems,CS,3.7
S0008,Junior,Spring_2024,ART040,Music Theory,Arts,3.3
